dateiname,titel,artist,enstehungszeit,objektbezeichnug,guid,entstehungszeit,objektbezeichnung
sgs_mup_baur_1162_001_s.jpg,Blumenstück,Romuald Baur,,,865B073D46A7BFF4969454920D2AC791,1905,Gemälde
sgs_mup_morgenstern_690_001_s.jpg,"Mondscheinlandschaft, Gegend an der Elbe",Christian Morgenstern,,,D00AC02B4108E54299232B9B6EAED0C9,vor 1846,Gemälde
sgs_mup_kandinsky_3723_001_s.jpg,Locker-Fest,Wassily Kandinsky,,,74BAF47448F88C09B1C136905773A46E,1926,Gemälde
sgs_mup_kanoldt_3775_001_s.jpg,Landschaft mit dem Hohentwiel,Edmund Friedrich Kanoldt,,,992591534BB7C99D4A50CB70CA35108,19. Jahrhundert,Gemälde
sgs_grs_kirchner_a-1957-2005_001_s.jpg,Alphaus mit untergehender Sonne,Ernst Ludwig Kirchner,,,F39801E44D8801F65B576ABF0EA1E847,1919,Druckgraphik
sgs_mup_hagemeister_1413_001_s.jpg,Sturzwelle,Karl Hagemeister,,,8D30BBB4422FE5FB53332F89245A5830,1914,Gemälde
sgs_mup_kanoldt_3030_001_s.jpg,Stilleben mit Segelschiff,Alexander Kanoldt,,,7931790A45E7F113650428BF0A6384BF,1922,Gemälde
sgs_mup_linder_957_001_s.jpg,Die Mäher,Lambert Linder,,,4DE8684C41A2D8754311E7BD5D8A2EB1,19. Jahrhundert,Gemälde
sgs_mup_moll_3002_001_s.jpg,Krug mit Feldblumen,Oskar Moll,,,A743FFEA4C04C4237D5B9C81B73C7BF3,1908,Gemälde
sgs_grs_klee_c-1971-2109_001_s.jpg,Schloss im Wald zu bauen,Paul Klee,,,3CB688F34C008FCB2AE332A07E95F506,1926,Zeichnung
NaN,Farbentanz,Ernst Ludwig Kirchner,,,BED9F0C14D220818B64F4F8C875826DD,1933/34,Druckgraphik
sgs_grs_klee_c-1968-1608_001_s.jpg,Warnung der Schiffe,Paul Klee,,,D1A7D195478A32A014A50CB69149BF33,1917,Zeichnung
sgs_grs_klee_c-1968-1610_001_s.jpg,Dogmatische Komposition,Paul Klee,,,51D0B09E17AA4CB29F059C69BA6C2ACB,1918,Zeichnung
sgs_grs_klee_c-1970-2015_001_s.jpg,Rote Brücke,Paul Klee,,,3426756943048D02AD1AE9A92619A1E8,1928,Zeichnung
sgs_grs_klee_a-1971-5110_001_s.jpg,Hoffmaneske Szene (Blatt 6 in: Bauhaus-Drucke. Erste Mappe),Paul Klee,,,564D312F40D8E055F23DCFB1537099F5,1921,Druckgraphik
sgs_grs_klee_a-1979-5816_001_s.jpg,"Ohne Titel (Nicht endend) (aus: Will Grohmann, Paul Klee, Editions Cahiers d'art)",Paul Klee,,,F2AF5AF046AE2CAA65D95892D822AFF6,1930,Druckgraphik
sgs_grs_bayer_c-1970-2027_001_s.jpg,Stadelwand,Herbert Bayer,,,F9F4460B4AB2015F49C5DA9CA56BF548,1936,Zeichnung
sgs_grs_kirchner_c-1957-761_001_s.jpg,Schale mit Zitronen,Ernst Ludwig Kirchner,,,034DC5D54E8FE93AA22EDCA08D71493C,1911,Zeichnung
sgs_grs_corinth_c-1972-2220_001_s.jpg,Walchensee im Winter,Lovis Corinth,,,DCCA71FA4CD7213D5104568854BDC75A,1924,Zeichnung
sgs_grs_kirchner_c-1957-745_001_s.jpg,Rote Kokotte,Ernst Ludwig Kirchner,,,B55735AD44A849A9CC7136BE0D224CBE,1914,Zeichnung
sgs_grs_herolt_c-5739_001_s.jpg,"Blumen, Vogelspinne und Schlange",Johanna Helena Graff,,,9B2C7301494B2A4D7BBF60B7314FC731,um 1702-1704,Zeichnung
sgs_grs_stenner_a-1972-5154_001_s.jpg,Vier Frauenakte unter Bäumen,Hermann Stenner,,,E2CCEA9F40EC8826420A00B00D1695A3,1913,Druckgraphik
sgs_grs_kirchner_c-1953-540_001_s.jpg,Gebirgslandschaft mit Häusern,Ernst Ludwig Kirchner,,,C075D65F416EB6FE410EFFBA51B84651,1924,Zeichnung
sgs_grs_kirchner_c-1957-776_001_s.jpg,Bergblumen,Ernst Ludwig Kirchner,,,B8E7395D4C0464CB96544DACFA255A18,um 1923,Zeichnung
sgs_grs_kirchner_a-1957-2040_001_s.jpg,Das grüne Haus,Ernst Ludwig Kirchner,,,F2B82A2D46CDCAAEA2D621BD3701AF7C,1908,Druckgraphik
sgs_grs_kirchner_a-1957-2058_001_s.jpg,Segelboote bei Grünau; verso: Großer Mädchenakt im Badetub,Ernst Ludwig Kirchner,,,4371065C464B75CD7634A9AFAFC4AC49,1914 /1909,Druckgraphik
sgs_grs_macke_c-1948-130_001_s.jpg,Weinberge am Murtensee,August Macke,,,C234BFE64A7FC4E295764AA4C82BC0A8,1914,Zeichnung
NaN,Pianta di Roma e del Campo Marzo,Giovanni Battista Piranesi,,,99EB413A45028B1A6601058779D0A64E,um 1774 (um 1780),Druckgraphik
sgs_grs_kandinsky_c-1970-2018_001_s.jpg,Gespannt,Wassily Kandinsky,,,2455490B402AD5FDFDA989802C75536B,1930,Zeichnung
sgs_grs_marc_a-1949-710_001_s.jpg,Reitschule nach Ridinger,Franz Marc,,,C715B3714F245D9E9926F1A667083149,1913,Druckgraphik
sgs_grs_moholy-nagy_c-1972-2285_001_s.jpg,Konstruktion,László Moholy-Nagy,,,A6E604C24880F70916E219980CB29241,1923/25,Zeichnung
sgs_grs_loewenthal_c-1967-1551_001_s.jpg,Landschaft mit blauer Alpenkette (Schneeschmelze im Gebirge),Käthe Loewenthal,,,8BEC20E14B8012C4845933B0DEE854B4,1. Hälfte 20. Jh.,Zeichnung
sgs_grs_feuerbach_c-1920-5_001_s.jpg,Allee im Park der Villa d'Este in Tivoli,Anselm Feuerbach,,,678F37CD57264AA0B6CD4C1D159E328E,1857,Zeichnung
sgs_grs_atkins_f-1989-4_001_s.jpg,Polypodium vulgare,Anna Atkins,,,821F779B27BA43DAB90C477D9280B071,um 1850,Fotografie
sgs_grs_hondius_b-589-28_001_s.jpg,Perspective: Tafel 28,Hans Vredeman de Vries,,,601A5158983E4A64B7CB14A60AB6D973,1604,Druckgraphik
sgs_grs_ensor_a-1985-6234_001_s.jpg,La cathédrale,James Ensor,,,B68AD3B42D4D408EA49363F2AE15280C,1886,Druckgraphik
sgs_grs_schlemmer_c-1953-511_001_s.jpg,Folkwang-Zyklus: Gruppe mit Schwebendem,Oskar Schlemmer,,,A887B9E9E64E4D7E8749F56D0F9E7432,1928,Zeichnung
sgs_grs_schlemmer_a-1951-984_001_s.jpg,"Plakat: Neuer Kunstsalon am Neckartor, Stuttgart",Oskar Schlemmer,,,2DC5191EBEAF4720BAF6E0E2012900AE,1913,Plakat
sgs_grs_schlemmer_a-1966-4343_001_s.jpg,Tänzerin,Oskar Schlemmer,,,DBBA162E822649299B66866732366A07,1922/23,Druckgraphik
NaN,[Zeichnung],Adolf Hölzel,,,2D288F3BCF3445A4B116864CE5883F48,NaN,Zeichnung
sgs_grs_tschaschnik_c-1979-2939_001_s.jpg,Schwebende suprematistische Formen mit rund gespannter Achse,Ilja Gregorjewitsch Tschaschnik,,,836D07227CB0469389C2E1F0B6C7D03C,1921/24,Zeichnung
sgs_mup_carus_3811_001_s.jpg,Nebelwolken in der Sächsischen Schweiz,Carl Gustav Carus,,,4E8E250925FA462184BE1651E4EBDD28,um 1828,Gemälde
sgs_grs_marc_a-1968-4587_001_s.jpg,Geburt der Pferde,Franz Marc,,,CC8E2CC58F704F13A667A189172DF021,1913,Druckgraphik
sgs_grs_jawlensky_a-1974-5354-g_001_s.jpg,Kopf (Blatt 7 in: Bauhaus-Drucke. 4te Mappe),Alexej Jawlensky,,,A23704F8CFB34093877B0B22B1E571E2,1921 (1923),Druckgraphik
sgs_grs_heemskerck_a-1974-5353-f_001_s.jpg,Komposition (Blatt 6 in: Bauhaus-Drucke. 3te Mappe),Jacoba van Heemskerck van Beest,,,22FB89D14D9E4A5A8519E14C28753641,1920 (1921),Druckgraphik
sgs_grs_marc_a-1974-5353-i_001_s.jpg,Schöpfungsgeschichte I (Blatt 9 in: Bauhaus-Drucke. 3te Mappe),Franz Marc,,,EEFFB9C2996D47FEA15818625F22B9AA,1914 (1921),Druckgraphik
sgs_grs_topp_a-1974-5353-m_001_s.jpg,Abstrakte Komposition (Blatt 13 in: Bauhaus-Drucke. 3te Mappe),Arnold Topp,,,13A32B8618944F28952C0002072107BC,1921,Druckgraphik
sgs_grs_boccioni_a-1974-5354-b_001_s.jpg,Schnelligkeit (Dinamismo di un ciclista) (Blatt 2 in: Bauhaus-Drucke. 4te Mappe),Umberto Boccioni,,,6B126A5DA81F468C8B884F9A8196ED0D,1913 (1923),Druckgraphik
sgs_grs_kandinsky_a-1974-5354-h_001_s.jpg,Komposition (Blatt 8 in: Bauhaus-Drucke. 4te Mappe),Wassily Kandinsky,,,3D80EB3197AC4218B585A262B74575FA,1922 (1923),Druckgraphik
sgs_grs_kerschbaumer_a-1974-5372-18_001_s.jpg,"Häuser am See, Variation I (Blatt 8 in: Die Schaffenden, 3. Jahrgang, 2. Mappe)",Anton Kerschbaumer,,,9CF7B89755B74704B404CBB3702F1DCF,1921 (1922),Druckgraphik
sgs_grs_lemme_c-1968-1636_001_s.jpg,Blumenstillleben,Maria Lemmé,,,379F78B7FDAC4CCCA4EDCE44495A14AD,um 1920,Zeichnung
NaN,"Tiger (Vignette Seite 57 in: Gustav Schiefler, Edvard Munch. Das graphische Werk 1906-1926, Berlin 1928)",Gustav Schiefler,,,B03864A5D5334A27A5BF54315ADEF15A,1928,Druckgraphik
sgs_grs_moholy_a-1968-4581_001_s.jpg,"Ohne Titel (Komposition mit Kreis, Pyramide und zwei Strahlen)",László Moholy-Nagy,,,D1F9A077BD9D4FC48442B68D3B62B202,1924,Druckgraphik
sgs_grs_riviere_a-2008-7586-10_001_s.jpg,L'aube (Blatt 1 aus: La Féerie des Heures),Henri Rivière,,,98E9589BAE874DBAAA849C9DB37247B6,1901,Druckgraphik
sgs_grs_kandinsky_c-1960-928_001_s.jpg,Spitz-Oval mit Schleife,Wassily Kandinsky,,,1A351FD3DC9D45828A8BC4ECB274B12F,1934,Zeichnung
